YEAR1,PLOT,LOC,BLOCK,HARVEST,y,GEN,PHI_y,year,trl,yld,yr,blk,har,plt
2001,9/1,0630,1,1,142.3,WD  01172,33.26980536,2001,2001,142.3,2001,1,1,WD  01172
2001,9/2,0630,2,1,146,WD  01172,33.82940831,2001,2001,146,2001,2,1,WD  01172
2001,9/3,0630,3,1,141,WD  01172,33.07187912,2001,2001,141,2001,3,1,WD  01172
2001,9/4,0630,4,1,131.7,WD  01172,31.63513475,2001,2001,131.7,2001,4,1,WD  01172
2001,8/1,0630,1,1,139.9,WD  01026,32.90386086,2001,2001,139.9,2001,1,1,WD  01026
2001,8/2,0630,2,1,147.5,WD  01026,34.05473583,2001,2001,147.5,2001,2,1,WD  01026
2001,8/3,0630,3,1,149.3,WD  01026,34.32398274,2001,2001,149.3,2001,3,1,WD  01026
2001,8/4,0630,4,1,139.7,WD  01026,32.87325823,2001,2001,139.7,2001,4,1,WD  01026
2001,11/1,0630,1,1,117.4,WD  01174,29.34821142,2001,2001,117.4,2001,1,1,WD  01174
2001,11/2,0630,2,1,121.9,WD  01174,30.0787445,2001,2001,121.9,2001,2,1,WD  01174
2001,11/3,0630,3,1,126.4,WD  01174,30.79909882,2001,2001,126.4,2001,3,1,WD  01174
2001,11/4,0630,4,1,125.2,WD  01174,30.60797076,2001,2001,125.2,2001,4,1,WD  01174
2001,5/1,0630,1,1,129.6,WD  00883,31.30543294,2001,2001,129.6,2001,1,1,WD  00883
2001,5/2,0630,2,1,135.7,WD  00883,32.25766407,2001,2001,135.7,2001,2,1,WD  00883
2001,5/3,0630,3,1,135.4,WD  00883,32.21121845,2001,2001,135.4,2001,3,1,WD  00883
2001,5/4,0630,4,1,133.9,WD  00883,31.97840111,2001,2001,133.9,2001,4,1,WD  00883
2001,19/1,0630,1,1,132.6,WD  01171,31.77582326,2001,2001,132.6,2001,1,1,WD  01171
2001,19/2,0630,2,1,147,WD  01171,33.97972382,2001,2001,147,2001,2,1,WD  01171
